Hoarding Code,City,(Area/Zone),Location / Landmark,Facing Direction,Size (Width x Height),Position,Hoarding Type,Illumination,Latitude,Longitude,Ownership,Sq. Ft.,Landlord
MESH-ME-S,Mehsana,Shivala Circle,Shivala Circle,Ahmedabad to Mehsana,20 x 10,Solo,Hoarding,NL,23.5448911,72.3798411,GOV - MMC,200,MMC
MESH-ME-SA,Mehsana,Shivala Circle,"Shivala Circle, Mehsana Entrance, Nr. KIA Showroom",Ahmedabad to Mehsana,30 x 20,Solo,Hoarding,NL,23.5497569,72.3779468,Private,600,Green Meedows
MEOC-AH-U,Mehsana,ONGC Circle,At ONGC (Palavasana) Circle,Mehsana to Ahmedabad & Himmatnagar,20 x 10,Upper,Hoarding,NL,23.5673833,72.3714656,GOV - MMC,200,MMC
MEOC-AH-D,Mehsana,ONGC Circle,At ONGC (Palavasana) Circle,Mehsana to Ahmedabad & Himmatnagar,20 x 10,Lower,Hoarding,NL,23.5673833,72.3714656,GOV - MMC,200,MMC
MEOC-AH-S,Mehsana,ONGC Circle,At ONGC (Palavasana) Circle,Mehsana to Ahmedabad,20 x 15,Solo,Hoarding,NL,23.5671125,72.3715246,GOV - MMC,300,MMC
MEOC-ME-1,Mehsana,ONGC Circle,At ONGC (Palavasana) Circle,Ahmedabad to Mehsana,20 x 10,First,Hoarding,NL,23.5678436,72.3707501,GOV - MMC,200,MMC
MEOC-ME-2,Mehsana,ONGC Circle,At ONGC (Palavasana) Circle,Ahmedabad to Mehsana & Bechraji,20 x 10,Second,Hoarding,NL,23.5698881,72.3699025,GOV - MMC,200,MMC
MEKN-ME-S,Mehsana,Khari Nadi,"Opp. Janpath, Bechraji Chowkadi",Ahmedabad to Mehsana & Bechraji,20 x 10,Solo,Hoarding,NL,23.5706761,72.3695877,GOV - MMC,200,MMC
MEKN-ME-SA,Mehsana,Khari Nadi,Nr. RTO,Ahmedabad to Mehsana,20 x 10,Solo,Hoarding,NL,23.5711533,72.3693879,GOV - MMC,200,MMC
MEKN-ME-U1,Mehsana,Khari Nadi,"RTO, Mehsana Entrance, Nr. Khari Nadi, First",Ahmedabad to Mehsana,20 x 10,Upper,Hoarding,NL,23.5735164,72.3685255,GOV - MMC,200,MMC
MEKN-ME-D1,Mehsana,Khari Nadi,"RTO, Mehsana Entrance, Nr. Khari Nadi, First",Ahmedabad to Mehsana,20 x 10,Lower,Hoarding,NL,23.5735164,72.3685255,GOV - MMC,200,MMC
MEKN-ME-U2,Mehsana,Khari Nadi,"RTO, Mehsana Entrance, Nr. Khari Nadi, Second",Ahmedabad to Mehsana,20 x 10,Upper,Hoarding,NL,23.5744488,72.3682228,GOV - MMC,200,MMC
MEKN-ME-D2,Mehsana,Khari Nadi,"RTO, Mehsana Entrance, Nr. Khari Nadi, Second",Ahmedabad to Mehsana,20 x 10,Lower,Hoarding,NL,23.5744488,72.3682228,GOV - MMC,200,MMC
